,Area80%,Area60%,Area40%,Area_crossbrain,axis_80%,axis_60%,axis_40%,axis_0%,maxMPS_coord,centroidMPS_coord,centroid_Brain_coord,mps_centroid_vec,max_mps_vec,mps_volume
0,184,771,1838,14283,"(26.466918571453427, 10.82985573344769)","(42.303929939449844, 25.973781113519127)","(63.460812665461305, 41.86303166686871)","(165.35794680372015, 121.71243104929258)","(65, 87)","(73.678862797293377, 87.884761135438225)","(118.1120912973465, 78.667926906112157)",[-44.4332285    9.21683423],[-53.1120913    8.33207309],13751.275238095239
1,795,2015,3158,14040,"(39.95757209600839, 26.469830738636006)","(66.58799679934322, 40.35229280770641)","(82.7808658781798, 49.68349549389655)","(155.01747538611767, 119.49050455472127)","(90, 79)","(89.730863936530298, 72.852327319053146)","(109.83475783475784, 68.01217948717948)",[-20.1038939    4.84014783],[-19.83475783  10.98782051],49552.136414141416
2,606,1565,2764,18503,"(30.42464974007875, 28.203399368022254)","(57.18794654478523, 36.1918399593306)","(73.07533917534381, 49.84688044920632)","(178.28753573423043, 139.00963184785084)","(124, 111)","(123.98174480246303, 116.23921693589257)","(144.1642436361671, 115.37685780684214)",[-20.18249883   0.86235913],[-20.16424364  -4.37685781],71572.10988067488
3,64,741,2362,18212,"(13.556760830278579, 8.343420958493253)","(43.25089195882912, 37.59598361894626)","(65.3174301066043, 53.84800256313104)","(183.4399251732889, 131.24083316323612)","(148, 167)","(142.97710186291383, 161.4381931243889)","(153.04700197671863, 137.34674939600262)",[-10.06990011  24.09144373],[ -5.04700198  29.6532506 ],15906.198015873015
4,106,832,2097,15220,"(30.994211301486736, 5.014718600743625)","(51.060810402728464, 23.670408369159407)","(64.36163190381382, 45.143819191645235)","(166.57328639729528, 122.75359870142958)","(100, 119)","(104.86846965690268, 116.70597846559083)","(122.69520367936926, 100.44579500657031)",[-17.82673402  16.26018346],[-22.69520368  18.55420499],22928.96896825397
5,391,2033,4004,18733,"(61.27781597875503, 8.620575424305239)","(77.0030097230205, 38.30915436981391)","(100.65589035734793, 58.75990579850087)","(184.1402406764204, 137.51323478794717)","(52, 112)","(80.084145322821925, 114.75495915543884)","(115.4505952063204, 96.298777558319543)",[-35.36644988  18.4561816 ],[-63.45059521  15.70122244],23196.283333333333
6,519,1804,3422,17837,"(41.719418080833734, 16.50538868682253)","(73.27448640818878, 32.21944093172282)","(96.77620583135932, 45.639307150236306)","(186.34072261282498, 125.56087228296599)","(150, 92)","(151.6764402820115, 88.171299521530173)","(174.25918035544095, 89.666984358356231)",[-22.58274007  -1.49568484],[-24.25918036   2.33301564],85444.79331890332
7,732,2482,3711,18852,"(42.46326480536274, 23.335186753260142)","(71.31534617167048, 44.871930946436144)","(85.6195890814184, 55.54067258407537)","(189.71136539087303, 131.26263367687773)","(123, 103)","(130.4704606636291, 94.822959487303834)","(105.46297475068958, 93.461542541905374)","(-25.007485912939515, 1.3614169453984601)","(-17.537025249310418, 9.5384574580946264)",118899.18331696081
8,556,2089,3823,14145,"(30.86353246257973, 28.17318169720198)","(63.04908478983055, 45.136260916026686)","(80.91988198918557, 63.85949355600854)","(153.1822064481501, 123.37843099353906)","(111, 90)","(112.71366549785488, 90.49519972689717)","(130.49939908094734, 85.542806645457759)",[-17.78573358   4.95239308],[-19.49939908   4.45719335],62236.04939393939
9,330,1089,2164,15742,"(34.81839348790727, 16.15821420540798)","(48.93072467294395, 32.75807224226542)","(69.68536177497269, 44.522003236142695)","(161.0201841107354, 128.97321735665815)","(107, 80)","(115.48503344088959, 77.304727949409525)","(135.48456358785415, 73.013594206581118)",[-19.99953015   4.29113374],[-28.48456359   6.98640579],38809.89743145743
10,251,863,2120,18520,"(31.952831967963643, 13.119417475647465)","(44.39467033884399, 26.11169809950076)","(64.97246750462378, 45.9076051826013)","(171.5434371893866, 143.12861148042282)","(135, 99)","(131.22392569761911, 100.4006921039397)","(149.43736501079914, 96.562095032397409)",[-18.21343931   3.83859707],[-14.43736501   2.43790497],26513.186637806637
11,280,1503,3120,18902,"(29.79801591566484, 14.937880984467325)","(75.1849286667811, 30.27263836857573)","(93.05098609340628, 47.71800480710872)","(181.84456335900663, 137.4618542881476)","(122, 77)","(111.27660451380513, 74.098196342358023)","(118.73643000740663, 77.658554650301554)",[-7.45982549 -3.56035831],[ 3.26356999 -0.65855465],46745.105952380945
12,580,1461,3035,13167,"(38.48979552411348, 22.074958067609714)","(54.59317369010426, 36.073568846394835)","(73.89377855665926, 54.43154404492128)","(164.3024609510651, 105.27329635795488)","(106, 56)","(94.299213360420481, 58.320631824691183)","(116.50398724082935, 61.926406926406926)",[-22.20477388  -3.6057751 ],[-10.50398724  -5.92640693],45503.203571428574
